english,vietnamese,part_of_speech
hello,xin chào,interjection
goodbye,tạm biệt,interjection
thank,cảm ơn,verb
you,bạn,pronoun
please,làm ơn,adverb
yes,vâng,interjection
no,không,interjection
sorry,xin lỗi,adjective
excuse,bỏ qua,verb
help,giúp đỡ,verb
time,thời gian,noun
day,ngày,noun
week,tuần,noun
month,tháng,noun
year,năm,noun
today,hôm nay,noun
tomorrow,ngày mai,noun
yesterday,hôm qua,noun
morning,buổi sáng,noun
afternoon,buổi chiều,noun
evening,buổi tối,noun
night,đêm,noun
water,nước,noun
food,thức ăn,noun
bread,bánh mì,noun
rice,cơm,noun
meat,thịt,noun
fish,cá,noun
chicken,gà,noun
egg,trứng,noun
milk,sữa,noun
coffee,cà phê,noun
tea,trà,noun
fruit,trái cây,noun
vegetable,rau,noun
apple,táo,noun
banana,chuối,noun
orange,cam,noun
house,nhà,noun
home,nhà,noun
door,cửa,noun
window,cửa sổ,noun
room,phòng,noun
kitchen,nhà bếp,noun
bathroom,phòng tắm,noun
bedroom,phòng ngủ,noun
family,gia đình,noun
mother,mẹ,noun
father,cha,noun
parent,bố mẹ,noun
child,con,noun
son,con trai,noun
daughter,con gái,noun
brother,anh trai,noun
sister,chị gái,noun
husband,chồng,noun
wife,vợ,noun
friend,bạn,noun
person,người,noun
man,đàn ông,noun
woman,phụ nữ,noun
boy,con trai,noun
girl,con gái,noun
baby,em bé,noun
go,đi,verb
come,đến,verb
see,nhìn,verb
look,nhìn,verb
hear,nghe,verb
listen,nghe,verb
speak,nói,verb
talk,nói chuyện,verb
say,nói,verb
tell,kể,verb
ask,hỏi,verb
answer,trả lời,verb
read,đọc,verb
write,viết,verb
learn,học,verb
teach,dạy,verb
study,học tập,verb
know,biết,verb
understand,hiểu,verb
think,nghĩ,verb
believe,tin,verb
remember,nhớ,verb
forget,quên,verb
want,muốn,verb
need,cần,verb
like,thích,verb
love,yêu,verb
hate,ghét,verb
eat,ăn,verb
drink,uống,verb
sleep,ngủ,verb
wake,thức dậy,verb
work,làm việc,verb
play,chơi,verb
run,chạy,verb
walk,đi bộ,verb
sit,ngồi,verb
stand,đứng,verb
give,cho,verb
take,lấy,verb
bring,mang,verb
buy,mua,verb
sell,bán,verb
pay,trả tiền,verb
open,mở,verb
close,đóng,verb
begin,bắt đầu,verb
start,bắt đầu,verb
finish,kết thúc,verb
end,kết thúc,verb
stop,dừng,verb
continue,tiếp tục,verb
make,làm,verb
do,làm,verb
have,có,verb
get,lấy,verb
put,đặt,verb
keep,giữ,verb
let,để,verb
seem,có vẻ,verb
become,trở nên,verb
feel,cảm thấy,verb
big,to,adjective
small,nhỏ,adjective
large,lớn,adjective
little,nhỏ,adjective
long,dài,adjective
short,ngắn,adjective
tall,cao,adjective
high,cao,adjective
low,thấp,adjective
new,mới,adjective
old,cũ,adjective
young,trẻ,adjective
good,tốt,adjective
bad,xấu,adjective
great,tuyệt vời,adjective
nice,đẹp,adjective
beautiful,xinh đẹp,adjective
pretty,đẹp,adjective
hot,nóng,adjective
cold,lạnh,adjective
warm,ấm,adjective
cool,mát,adjective
happy,vui,adjective
sad,buồn,adjective
angry,tức giận,adjective
tired,mệt,adjective
hungry,đói,adjective
thirsty,khát,adjective
sick,ốm,adjective
healthy,khỏe mạnh,adjective
strong,mạnh,adjective
weak,yếu,adjective
fast,nhanh,adjective
slow,chậm,adjective
easy,dễ,adjective
difficult,khó,adjective
hard,khó,adjective
simple,đơn giản,adjective
clean,sạch,adjective
dirty,bẩn,adjective
full,đầy,adjective
empty,trống,adjective
rich,giàu,adjective
poor,nghèo,adjective
expensive,đắt,adjective
cheap,rẻ,adjective
free,miễn phí,adjective
right,đúng,adjective
wrong,sai,adjective
true,thật,adjective
false,sai,adjective
same,giống,adjective
different,khác,adjective
near,gần,adjective
far,xa,adjective
early,sớm,adjective
late,muộn,adjective
many,nhiều,adjective
much,nhiều,adjective
few,ít,adjective
little,ít,adjective
all,tất cả,adjective
some,một số,adjective
any,bất kỳ,adjective
every,mỗi,adjective
other,khác,adjective
here,ở đây,adverb
there,ở đó,adverb
now,bây giờ,adverb
then,sau đó,adverb
always,luôn luôn,adverb
never,không bao giờ,adverb
often,thường,adverb
sometimes,đôi khi,adverb
usually,thường,adverb
very,rất,adverb
too,quá,adverb
so,quá,adverb
well,tốt,adverb
also,cũng,adverb
only,chỉ,adverb
just,chỉ,adverb
really,thực sự,adverb
maybe,có thể,adverb
perhaps,có lẽ,adverb
probably,có lẽ,adverb
almost,gần như,adverb
quite,khá,adverb
enough,đủ,adverb
together,cùng nhau,adverb
again,lại,adverb
once,một lần,adverb
twice,hai lần,adverb
quickly,nhanh chóng,adverb
slowly,chậm,adverb
carefully,cẩn thận,adverb
suddenly,đột nhiên,adverb
finally,cuối cùng,adverb
I,tôi,pronoun
me,tôi,pronoun
my,của tôi,pronoun
mine,của tôi,pronoun
we,chúng tôi,pronoun
us,chúng tôi,pronoun
our,của chúng tôi,pronoun
ours,của chúng tôi,pronoun
he,anh ấy,pronoun
him,anh ấy,pronoun
his,của anh ấy,pronoun
she,cô ấy,pronoun
her,cô ấy,pronoun
hers,của cô ấy,pronoun
it,nó,pronoun
its,của nó,pronoun
they,họ,pronoun
them,họ,pronoun
their,của họ,pronoun
theirs,của họ,pronoun
this,cái này,pronoun
that,cái đó,pronoun
these,những cái này,pronoun
those,những cái đó,pronoun
who,ai,pronoun
whom,ai,pronoun
whose,của ai,pronoun
what,cái gì,pronoun
which,cái nào,pronoun
where,ở đâu,pronoun
when,khi nào,pronoun
why,tại sao,pronoun
how,làm sao,pronoun
and,và,conjunction
but,nhưng,conjunction
or,hoặc,conjunction
because,vì,conjunction
if,nếu,conjunction
when,khi,conjunction
while,trong khi,conjunction
although,mặc dù,conjunction
though,mặc dù,conjunction
so,vì vậy,conjunction
than,hơn,conjunction
as,như,conjunction
before,trước,conjunction
after,sau,conjunction
until,cho đến khi,conjunction
unless,trừ khi,conjunction
in,trong,preposition
on,trên,preposition
at,ở,preposition
to,đến,preposition
from,từ,preposition
with,với,preposition
without,không có,preposition
by,bằng,preposition
for,cho,preposition
about,về,preposition
of,của,preposition
off,tắt,preposition
up,lên,preposition
down,xuống,preposition
over,qua,preposition
under,dưới,preposition
above,trên,preposition
below,dưới,preposition
between,giữa,preposition
among,trong số,preposition
through,qua,preposition
across,băng qua,preposition
into,vào,preposition
out,ra,preposition
inside,bên trong,preposition
outside,bên ngoài,preposition
behind,đằng sau,preposition
beside,bên cạnh,preposition
near,gần,preposition
toward,về phía,preposition
against,chống lại,preposition
during,trong suốt,preposition
since,từ khi,preposition
number,số,noun
one,một,number
two,hai,number
three,ba,number
four,bốn,number
five,năm,number
six,sáu,number
seven,bảy,number
eight,tám,number
nine,chín,number
ten,mười,number
eleven,mười một,number
twelve,mười hai,number
thirteen,mười ba,number
fourteen,mười bốn,number
fifteen,mười lăm,number
sixteen,mười sáu,number
seventeen,mười bảy,number
eighteen,mười tám,number
nineteen,mười chín,number
twenty,hai mươi,number
thirty,ba mươi,number
forty,bốn mươi,number
fifty,năm mươi,number
sixty,sáu mươi,number
seventy,bảy mươi,number
eighty,tám mươi,number
ninety,chín mươi,number
hundred,trăm,number
thousand,nghìn,number
million,triệu,number
first,thứ nhất,adjective
second,thứ hai,adjective
third,thứ ba,adjective
fourth,thứ tư,adjective
fifth,thứ năm,adjective
last,cuối cùng,adjective
next,tiếp theo,adjective
country,đất nước,noun
city,thành phố,noun
town,thị trấn,noun
village,làng,noun
street,đường phố,noun
road,đường,noun
place,nơi,noun
world,thế giới,noun
earth,trái đất,noun
sea,biển,noun
ocean,đại dương,noun
river,sông,noun
lake,hồ,noun
mountain,núi,noun
hill,đồi,noun
forest,rừng,noun
tree,cây,noun
flower,hoa,noun
grass,cỏ,noun
plant,cây,noun
animal,động vật,noun
bird,chim,noun
dog,chó,noun
cat,mèo,noun
horse,ngựa,noun
cow,bò,noun
pig,lợn,noun
sheep,cừu,noun
goat,dê,noun
lion,sư tử,noun
tiger,hổ,noun
elephant,voi,noun
monkey,khỉ,noun
snake,rắn,noun
insect,côn trùng,noun
fly,ruồi,noun
bee,ong,noun
school,trường học,noun
class,lớp,noun
student,học sinh,noun
teacher,giáo viên,noun
book,sách,noun
pen,bút,noun
pencil,bút chì,noun
paper,giấy,noun
desk,bàn,noun
chair,ghế,noun
table,bàn,noun
picture,hình ảnh,noun
photo,ảnh,noun
color,màu sắc,noun
white,trắng,adjective
black,đen,adjective
red,đỏ,adjective
blue,xanh dương,adjective
green,xanh lá,adjective
yellow,vàng,adjective
brown,nâu,adjective
gray,xám,adjective
pink,hồng,adjective
purple,tím,adjective
money,tiền,noun
dollar,đô la,noun
price,giá,noun
cost,chi phí,noun
shop,cửa hàng,noun
store,cửa hàng,noun
market,chợ,noun
bank,ngân hàng,noun
hospital,bệnh viện,noun
doctor,bác sĩ,noun
nurse,y tá,noun
medicine,thuốc,noun
health,sức khỏe,noun
body,cơ thể,noun
head,đầu,noun
face,mặt,noun
eye,mắt,noun
ear,tai,noun
nose,mũi,noun
mouth,miệng,noun
tooth,răng,noun
tongue,lưỡi,noun
hand,tay,noun
arm,cánh tay,noun
finger,ngón tay,noun
leg,chân,noun
foot,bàn chân,noun
knee,đầu gối,noun
back,lưng,noun
stomach,bụng,noun
heart,tim,noun
blood,máu,noun
bone,xương,noun
skin,da,noun
hair,tóc,noun
car,xe hơi,noun
bus,xe buýt,noun
train,tàu hỏa,noun
plane,máy bay,noun
ship,tàu thuyền,noun
boat,thuyền,noun
bicycle,xe đạp,noun
motorcycle,xe máy,noun
airport,sân bay,noun
station,ga,noun
ticket,vé,noun
travel,du lịch,verb
trip,chuyến đi,noun
visit,thăm,verb
hotel,khách sạn,noun
restaurant,nhà hàng,noun
menu,thực đơn,noun
breakfast,bữa sáng,noun
lunch,bữa trưa,noun
dinner,bữa tối,noun
meal,bữa ăn,noun
hungry,đói,adjective
thirsty,khát,adjective
