english,vietnamese,part_of_speech
ability,khả năng,noun
able,có thể,adjective
about,về,preposition
above,ở trên,preposition
accept,chấp nhận,verb
accident,tai nạn,noun
across,băng qua,preposition
act,hành động,verb
action,hành động,noun
active,năng động,adjective
activity,hoạt động,noun
add,thêm,verb
address,địa chỉ,noun
admit,thừa nhận,verb
adult,người lớn,noun
advance,tiến bộ,noun
advantage,lợi thế,noun
advice,lời khuyên,noun
affect,ảnh hưởng,verb
afraid,sợ hãi,adjective
after,sau,preposition
again,lại,adverb
against,chống lại,preposition
age,tuổi,noun
agree,đồng ý,verb
air,không khí,noun
all,tất cả,determiner
allow,cho phép,verb
almost,hầu như,adverb
alone,một mình,adjective
along,dọc theo,preposition
already,đã rồi,adverb
also,cũng,adverb
although,mặc dù,conjunction
always,luôn luôn,adverb
among,giữa,preposition
amount,số lượng,noun
ancient,cổ đại,adjective
and,và,conjunction
anger,sự tức giận,noun
animal,động vật,noun
another,khác,determiner
answer,câu trả lời,noun
any,bất kỳ,determiner
anyone,bất kỳ ai,pronoun
anything,bất cứ điều gì,pronoun
appear,xuất hiện,verb
apple,táo,noun
apply,áp dụng,verb
area,khu vực,noun
argue,tranh luận,verb
arm,cánh tay,noun
around,xung quanh,preposition
arrive,đến,verb
art,nghệ thuật,noun
article,bài báo,noun
ask,hỏi,verb
attack,tấn công,verb
attention,sự chú ý,noun
author,tác giả,noun
available,có sẵn,adjective
avoid,tránh,verb
away,xa,adverb
baby,em bé,noun
back,lưng,noun
bad,xấu,adjective
bag,túi,noun
ball,bóng,noun
bank,ngân hàng,noun
base,cơ sở,noun
basic,cơ bản,adjective
beautiful,đẹp,adjective
because,bởi vì,conjunction
become,trở thành,verb
bed,giường,noun
before,trước,preposition
begin,bắt đầu,verb
behavior,hành vi,noun
behind,phía sau,preposition
believe,tin,verb
benefit,lợi ích,noun
best,tốt nhất,adjective
better,tốt hơn,adjective
between,giữa,preposition
big,lớn,adjective
bill,hóa đơn,noun
bird,chim,noun
birth,sự sinh,noun
black,đen,adjective
blood,máu,noun
blue,xanh dương,adjective
board,bảng,noun
body,cơ thể,noun
book,sách,noun
both,cả hai,determiner
box,hộp,noun
boy,cậu bé,noun
break,phá vỡ,verb
bring,mang lại,verb
brother,anh em trai,noun
build,xây dựng,verb
business,kinh doanh,noun
buy,mua,verb
call,gọi,verb
camera,máy ảnh,noun
campaign,chiến dịch,noun
can,có thể,modal
cancer,ung thư,noun
candidate,ứng viên,noun
capital,thủ đô,noun
car,xe hơi,noun
care,chăm sóc,verb
career,sự nghiệp,noun
carry,mang,verb
case,trường hợp,noun
catch,bắt,verb
cause,nguyên nhân,noun
cell,tế bào,noun
center,trung tâm,noun
central,trung tâm,adjective
century,thế kỷ,noun
certain,chắc chắn,adjective
chair,ghế,noun
chance,cơ hội,noun
change,thay đổi,verb
character,nhân vật,noun
charge,phí,noun
check,kiểm tra,verb
child,trẻ em,noun
choice,lựa chọn,noun
choose,chọn,verb
church,nhà thờ,noun
city,thành phố,noun
civil,dân sự,adjective
claim,tuyên bố,verb
class,lớp,noun
clear,rõ ràng,adjective
close,đóng,verb
coach,huấn luyện viên,noun
cold,lạnh,adjective
collection,bộ sưu tập,noun
college,trường cao đẳng,noun
color,màu sắc,noun
come,đến,verb
commercial,thương mại,adjective
common,phổ biến,adjective
community,cộng đồng,noun
company,công ty,noun
compare,so sánh,verb
computer,máy tính,noun
concern,mối quan tâm,noun
condition,điều kiện,noun
conference,hội nghị,noun
consider,xem xét,verb
consumer,người tiêu dùng,noun
contain,chứa,verb
continue,tiếp tục,verb
control,kiểm soát,verb
cost,chi phí,noun
could,có thể,modal
country,quốc gia,noun
couple,cặp đôi,noun
course,khóa học,noun
court,tòa án,noun
cover,che phủ,verb
create,tạo ra,verb
crime,tội phạm,noun
culture,văn hóa,noun
cup,cốc,noun
current,hiện tại,adjective
customer,khách hàng,noun
cut,cắt,verb
dark,tối,adjective
data,dữ liệu,noun
daughter,con gái,noun
day,ngày,noun
dead,chết,adjective
deal,giao dịch,noun
death,cái chết,noun
debate,tranh luận,noun
decide,quyết định,verb
decision,quyết định,noun
deep,sâu,adjective
defense,phòng thủ,noun
degree,bằng cấp,noun
democrat,dân chủ,noun
describe,mô tả,verb
design,thiết kế,noun
detail,chi tiết,noun
develop,phát triển,verb
development,sự phát triển,noun
difference,sự khác biệt,noun
different,khác nhau,adjective
difficult,khó khăn,adjective
direction,hướng,noun
director,giám đốc,noun
discover,khám phá,verb
discuss,thảo luận,verb
discussion,cuộc thảo luận,noun
disease,bệnh tật,noun
do,làm,verb
doctor,bác sĩ,noun
dog,chó,noun
door,cửa,noun
down,xuống,adverb
draw,vẽ,verb
dream,giấc mơ,noun
drive,lái xe,verb
drop,rơi,verb
drug,thuốc,noun
during,trong khi,preposition
each,mỗi,determiner
early,sớm,adjective
east,đông,noun
easy,dễ,adjective
eat,ăn,verb
economic,kinh tế,adjective
economy,nền kinh tế,noun
edge,cạnh,noun
education,giáo dục,noun
effect,hiệu ứng,noun
effort,nỗ lực,noun
eight,tám,numeral
either,hoặc,conjunction
election,bầu cử,noun
employee,nhân viên,noun
end,kết thúc,noun
energy,năng lượng,noun
enjoy,thưởng thức,verb
enough,đủ,adverb
enter,nhập,verb
entire,toàn bộ,adjective
environment,môi trường,noun
especially,đặc biệt,adverb
establish,thành lập,verb
even,thậm chí,adverb
evening,buổi tối,noun
event,sự kiện,noun
ever,từng,adverb
every,mọi,determiner
everyone,mọi người,pronoun
everything,mọi thứ,pronoun
evidence,bằng chứng,noun
example,ví dụ,noun
exist,tồn tại,verb
expect,mong đợi,verb
experience,kinh nghiệm,noun
expert,chuyên gia,noun
explain,giải thích,verb
eye,mắt,noun
face,khuôn mặt,noun
fact,sự thật,noun
factor,yếu tố,noun
fail,thất bại,verb
fall,rơi,verb
family,gia đình,noun
far,xa,adverb
fast,nhanh,adjective
father,cha,noun
fear,nỗi sợ,noun
federal,liên bang,adjective
feel,cảm thấy,verb
feeling,cảm giác,noun
few,vài,determiner
field,lĩnh vực,noun
fight,chiến đấu,verb
figure,hình dạng,noun
fill,đổ đầy,verb
film,phim,noun
final,cuối cùng,adjective
finally,cuối cùng,adverb
financial,tài chính,adjective
find,tìm thấy,verb
fine,tốt,adjective
finger,ngón tay,noun
finish,hoàn thành,verb
fire,lửa,noun
firm,công ty,noun
first,đầu tiên,adjective
fish,cá,noun
five,năm,numeral
floor,sàn nhà,noun
focus,tập trung,noun
follow,theo sau,verb
food,thức ăn,noun
foot,bàn chân,noun
for,cho,preposition
force,lực,noun
foreign,nước ngoài,adjective
forget,quên,verb
form,hình thức,noun
former,trước đây,adjective
forward,phía trước,adverb
four,bốn,numeral
free,tự do,adjective
friend,bạn bè,noun
from,từ,preposition
front,phía trước,noun
full,đầy,adjective
fund,quỹ,noun
future,tương lai,noun
game,trò chơi,noun
garden,vườn,noun
gas,khí,noun
general,tổng quát,adjective
generation,thế hệ,noun
get,nhận,verb
girl,cô gái,noun
give,cho,verb
glass,thủy tinh,noun
go,đi,verb
goal,mục tiêu,noun
good,tốt,adjective
government,chính phủ,noun
great,tuyệt vời,adjective
green,xanh lá,adjective
ground,mặt đất,noun
group,nhóm,noun
grow,phát triển,verb
growth,sự tăng trưởng,noun
guess,đoán,verb
gun,súng,noun
guy,chàng trai,noun
hair,tóc,noun
half,một nửa,noun
hand,tay,noun
hang,treo,verb
happen,xảy ra,verb
happy,hạnh phúc,adjective
hard,khó,adjective
have,có,verb
head,đầu,noun
health,sức khỏe,noun
hear,nghe,verb
heart,trái tim,noun
heat,nhiệt,noun
heavy,nặng,adjective
help,giúp đỡ,verb
her,của cô ấy,pronoun
here,ở đây,adverb
herself,chính cô ấy,pronoun
high,cao,adjective
himself,chính anh ấy,pronoun
history,lịch sử,noun
hit,đánh,verb
hold,giữ,verb
home,nhà,noun
hope,hy vọng,noun
hospital,bệnh viện,noun
hot,nóng,adjective
hotel,khách sạn,noun
hour,giờ,noun
house,ngôi nhà,noun
how,như thế nào,adverb
however,tuy nhiên,adverb
huge,khổng lồ,adjective
human,con người,noun
hundred,trăm,numeral
husband,chồng,noun
idea,ý tưởng,noun
identify,xác định,verb
image,hình ảnh,noun
imagine,tưởng tượng,verb
impact,tác động,noun
important,quan trọng,adjective
improve,cải thiện,verb
include,bao gồm,verb
including,bao gồm,preposition
increase,tăng lên,verb
indeed,thực sự,adverb
indicate,chỉ ra,verb
individual,cá nhân,noun
industry,ngành công nghiệp,noun
information,thông tin,noun
